CustomerID,Age,AnnualIncome,SpendingScore,Gender
1,51,38150,21,Female
2,72,59858,92,Male
3,45,46075,99,Female
4,27,30180,86,Male
5,61,25508,23,Female
6,28,59292,64,Female
7,33,27398,67,Male
8,60,51746,40,Female
9,34,56269,10,Female
10,37,34369,89,Female
11,27,63661,52,Female
12,29,24333,72,Male
13,43,53146,75,Female
14,49,47487,61,Female
15,58,45415,64,Male
16,36,31731,5,Female
17,21,36844,53,Female
18,41,73182,55,Female
19,15,69727,37,Female
20,44,59731,56,Male
21,56,61497,59,Female
22,47,60990,93,Male
23,50,43149,69,Female
24,16,52114,73,Female
25,38,27112,59,Female
26,47,46954,2,Male
27,31,67651,65,Female
28,38,39289,60,Female
29,57,62647,51,Male
30,40,50373,30,Male
31,69,25319,11,Male
32,42,32190,92,Male
33,63,60489,76,Female
34,49,56387,39,Female
35,35,51026,90,Female
36,31,45789,77,Female
37,68,49358,72,Male
38,63,59904,63,Female
39,62,68937,64,Female
40,66,69255,61,Female
41,24,56179,54,Female
42,56,44821,92,Male
43,65,48693,94,Female
44,19,58931,73,Female
45,37,57071,95,Female
46,22,70419,58,Male
47,54,79336,85,Male
48,30,46921,56,Female
49,24,82938,34,Female
50,42,66383,31,Female
51,33,48187,52,Male
52,65,68978,89,Female
53,29,75384,76,Female
54,39,42195,1,Female
55,22,76783,55,Male
56,36,65526,22,Female
57,45,84028,40,Female
58,61,40539,1,Male
59,22,45498,65,Male
60,61,16500,63,Female
61,26,58967,54,Male
62,59,52728,42,Female
63,53,39255,21,Male
64,26,49172,79,Male
65,33,30031,81,Female
66,53,65676,22,Female
67,63,39354,38,Female
68,61,93310,99,Male
69,24,47965,80,Female
70,23,39305,8,Female
71,23,44515,62,Female
72,60,25820,47,Female
73,25,57734,17,Female
74,48,41901,17,Male
75,39,66068,90,Female
76,38,45078,13,Female
77,63,67466,17,Male
78,49,59461,38,Female
79,31,50328,81,Female
80,55,71203,78,Female
81,31,64184,45,Female
82,51,92093,6,Female
83,63,40558,35,Male
84,28,51349,14,Male
85,21,74430,72,Male
86,30,26846,61,Female
87,44,68354,15,Male
88,60,53589,54,Female
89,35,36176,27,Female
90,35,29054,13,Female
91,60,36912,31,Male
92,35,15227,35,Male
93,68,38856,60,Male
94,41,58238,6,Female
95,40,41855,69,Male
96,41,69724,86,Female
97,59,71999,58,Male
98,53,66834,49,Male
99,47,51759,23,Female
100,30,15129,89,Female
101,63,36144,34,Male
102,15,49369,26,Male
103,41,35491,47,Male
104,23,48607,5,Female
105,22,74951,90,Female
106,45,23813,20,Male
107,14,78775,6,Male
108,59,60370,70,Female
109,23,54723,59,Male
110,39,38395,64,Female
111,28,37090,18,Female
112,64,22206,4,Female
113,34,75351,17,Female
114,26,73464,14,Female
115,56,26305,78,Female
116,49,39810,13,Male
117,52,54297,7,Female
118,18,46707,44,Female
119,61,18119,15,Male
120,55,37633,19,Female
121,54,76865,63,Male
122,46,39550,35,Female
123,20,48547,81,Male
124,26,33222,35,Male
125,29,58916,19,Female
126,26,52127,20,Female
127,54,36469,100,Female
128,47,28730,35,Female
129,62,67868,32,Male
130,39,25016,48,Male
131,42,56357,44,Male
132,56,15091,24,Female
133,53,58308,61,Male
134,64,61154,17,Female
135,56,63821,71,Female
136,43,46281,50,Male
137,41,72660,65,Female
138,52,82416,99,Male
139,17,46475,32,Female
140,50,41234,36,Male
141,50,50237,13,Female
142,65,39334,70,Male
143,30,40641,58,Male
144,18,43148,14,Female
145,20,76736,37,Female
146,25,62078,79,Male
147,46,41185,68,Female
148,28,13373,40,Female
149,53,24533,59,Female
150,43,56251,80,Male
151,25,18676,92,Male
152,36,53794,16,Female
153,28,34216,62,Female
154,38,50577,4,Male
155,61,47857,45,Female
156,27,52108,90,Male
157,63,40783,28,Female
158,44,42190,96,Female
159,52,36988,66,Female
160,66,53658,31,Male
161,69,58177,3,Male
162,46,30115,8,Male
163,19,50325,24,Male
164,43,51648,15,Female
165,50,50756,43,Female
166,41,51401,31,Male
167,51,41869,73,Female
168,63,50885,45,Female
169,27,59570,66,Male
170,60,49115,8,Female
171,43,56289,71,Female
172,55,62355,57,Male
173,30,22235,80,Female
174,45,62651,99,Female
175,26,55536,30,Female
176,67,29625,74,Male
177,41,60937,18,Male
178,47,42325,69,Female
179,19,47170,93,Female
180,55,39884,39,Female
181,64,51135,60,Male
182,23,38919,98,Male
183,45,62022,43,Male
184,47,46217,45,Female
185,56,41936,23,Female
186,57,58593,69,Female
187,40,44206,94,Female
188,49,62322,6,Female
189,29,64793,56,Male
190,46,28377,4,Female
191,41,65538,93,Female
192,52,25869,23,Female
193,50,65573,6,Male
194,22,81225,32,Female
195,41,62022,18,Male
196,67,13945,15,Male
197,34,65553,40,Male
198,54,81291,96,Male
199,16,46854,73,Male
200,58,46679,74,Female
201,25,32672,84,Female
202,29,54781,6,Male
203,44,67637,63,Male
204,25,60966,67,Male
205,56,94529,11,Female
206,48,48695,43,Female
207,66,21939,17,Male
208,58,49764,96,Female
209,56,11153,4,Female
210,36,41403,63,Male
211,28,74565,68,Male
212,51,52777,81,Female
213,50,50691,41,Female
214,45,75811,83,Female
215,61,42841,5,Male
216,68,65127,32,Male
217,62,48739,86,Male
218,67,52000,70,Female
219,71,27640,35,Female
220,30,42769,22,Male
221,57,26337,65,Female
222,18,49771,84,Male
223,16,57256,22,Female
224,66,29749,11,Male
225,52,78537,77,Female
226,70,50171,3,Female
227,30,50866,9,Male
228,69,57644,60,Male
229,20,38566,76,Male
230,19,53552,87,Male
231,44,37847,14,Male
232,37,72680,97,Female
233,58,31320,18,Male
