Transaction,Items
1,Beer
1,Apples
1,Milk
1,Fish
2,Fish
2,Diaper
2,Milk
3,Bread
3,Chicken
3,Cheese
3,Diaper
4,Bread
4,Fish
5,Diaper
6,Apples
6,Cola
6,Diaper
6,Milk
6,Eggs
7,Diaper
8,Cola
8,Diaper
9,Cheese
9,Diaper
9,Eggs
9,Fish
9,Beer
10,Bread
10,Eggs
10,Diaper
10,Cola
10,Beer
11,Cola
11,Beer
11,Bread
12,Eggs
12,Cola
13,Bread
13,Beer
13,Cola
13,Fish
13,Milk
14,Chicken
14,Beer
14,Fish
15,Fish
15,Cola
16,Fish
16,Milk
16,Cola
16,Bread
16,Apples
17,Milk
18,Bread
18,Diaper
18,Chicken
19,Cola
20,Fish
21,Cheese
22,Chicken
23,Milk
23,Cheese
23,Fish
24,Diaper
24,Apples
24,Fish
25,Milk
26,Chicken
26,Bread
26,Cola
27,Cheese
27,Cola
28,Apples
28,Fish
29,Fish
30,Fish
30,Cola
30,Bread
31,Cheese
31,Chicken
31,Eggs
31,Beer
32,Fish
32,Bread
33,Eggs
33,Bread
33,Cola
33,Apples
33,Milk
34,Milk
34,Beer
34,Bread
34,Apples
35,Diaper
35,Apples
35,Chicken
36,Fish
36,Eggs
36,Bread
37,Fish
37,Chicken
37,Bread
37,Cheese
37,Apples
38,Eggs
38,Bread
38,Diaper
39,Milk
39,Cola
40,Cola
40,Beer
41,Fish
41,Eggs
41,Cola
41,Beer
41,Milk
42,Apples
42,Diaper
43,Cola
43,Milk
43,Apples
43,Chicken
44,Cola
44,Diaper
44,Cheese
45,Bread
45,Diaper
45,Fish
46,Chicken
46,Bread
46,Milk
46,Cola
47,Chicken
47,Cola
47,Eggs
47,Bread
48,Diaper
48,Bread
48,Fish
48,Chicken
48,Beer
49,Fish
49,Diaper
50,Apples
51,Apples
52,Chicken
52,Fish
52,Bread
52,Diaper
52,Cola
53,Milk
53,Chicken
53,Cola
53,Diaper
53,Eggs
54,Apples
55,Apples
55,Eggs
55,Chicken
55,Fish
56,Eggs
56,Cheese
56,Cola
56,Chicken
57,Chicken
57,Cola
58,Chicken
58,Eggs
59,Diaper
59,Eggs
59,Bread
60,Eggs
61,Chicken
61,Beer
61,Bread
61,Eggs
61,Diaper
62,Bread
63,Milk
63,Apples
63,Cola
64,Bread
64,Apples
64,Eggs
64,Cheese
64,Fish
65,Fish
66,Diaper
66,Eggs
66,Cheese
66,Cola
66,Milk
67,Cola
67,Cheese
67,Beer
67,Milk
67,Eggs
68,Cheese
68,Diaper
68,Bread
69,Beer
69,Milk
69,Apples
70,Chicken
70,Apples
70,Cheese
70,Diaper
70,Eggs
71,Cheese
72,Bread
72,Milk
72,Cheese
72,Fish
72,Chicken
73,Beer
73,Diaper
73,Apples
73,Cola
74,Chicken
74,Eggs
74,Milk
75,Eggs
75,Diaper
